"word";"in documents";"total"
"arbitr_case_illeg";1.0;1.0
"arbitr_case_initi";1.0;1.0
"arbitr_case_negat";1.0;1.0
"arbitr_case_unilater";3.0;3.0
"arbitr_china";6.0;7.0
"arbitr_china_agreement";2.0;2.0
"arbitr_china_complet";1.0;1.0
"arbitr_china_manila";1.0;1.0
"arbitr_china_repeat";2.0;2.0
"arbitr_china_violat";1.0;1.0
"arbitr_circumst";1.0;1.0
"arbitr_circumst_resum";1.0;1.0
"arbitr_compromis";1.0;1.0
"arbitr_compromis_exist";1.0;1.0
"arbitr_court";4.0;4.0
"arbitr_court_instead";1.0;1.0
"arbitr_court_s";1.0;1.0
"arbitr_court_said";1.0;1.0
"arbitr_court_talk";1.0;1.0
"arbitr_crossroad";1.0;1.0
"arbitr_crossroad_china";1.0;1.0
"arbitr_declar";1.0;1.0
"arbitr_declar_made";1.0;1.0
"arbitr_dialogu";1.0;1.0
"arbitr_dialogu_disrupt";1.0;1.0
"arbitr_ebrahim";1.0;1.0
"arbitr_ebrahim_said";1.0;1.0
"arbitr_escal";1.0;1.0
"arbitr_escal_tension";1.0;1.0
"arbitr_establish";1.0;1.0
"arbitr_establish_request";1.0;1.0
"arbitr_extern";1.0;1.0
"arbitr_extern_intervent";1.0;1.0
"arbitr_farc";1.0;1.0
"arbitr_file";2.0;2.0
"arbitr_file_china";1.0;1.0
"arbitr_file_previous";1.0;1.0
"arbitr_fulli";1.0;1.0
"arbitr_fulli_respect";1.0;1.0
"arbitr_give";1.0;1.0
"arbitr_give_undertak";1.0;1.0
"arbitr_hagu";3.0;3.0
"arbitr_hagu_cabinet";1.0;1.0
"arbitr_hagu_like";1.0;1.0
"arbitr_hagu_set";1.0;1.0
"arbitr_illeg";1.0;1.0
"arbitr_illeg_null";1.0;1.0
"arbitr_implement";1.0;1.0
"arbitr_implement_award";1.0;1.0
"arbitr_initi";2.0;3.0
"arbitr_initi_aquino";1.0;1.0
"arbitr_initi_philippin";1.0;2.0
"arbitr_issu";1.0;1.0
"arbitr_issu_final";1.0;1.0
"arbitr_jurisdict";1.0;1.0
"arbitr_jurisdict_unclo";1.0;1.0
"arbitr_lack";1.0;1.0
"arbitr_lack_polit";1.0;1.0
"arbitr_null";1.0;1.0
"arbitr_null_void";1.0;1.0
"arbitr_part";1.0;1.0
"arbitr_part_lawfar";1.0;1.0
"arbitr_parti";1.0;1.0
"arbitr_parti_submit";1.0;1.0
"arbitr_particip";1.0;1.0
"arbitr_particip_arbitr";1.0;1.0
"arbitr_pca";5.0;5.0
"arbitr_pca_establish";1.0;1.0
"arbitr_pca_hagu";3.0;3.0
"arbitr_pca_unilater";1.0;1.0
"arbitr_perman";2.0;2.0
"arbitr_perman_court";2.0;2.0
"arbitr_philippin";3.0;3.0
"arbitr_philippin_clear";1.0;1.0
