"word";"in documents";"total"
"intellig";4.0;5.0
"intend";2.0;3.0
"intensifi";6.0;7.0
"intent";1.0;1.0
"interest";12.0;24.0
"interf";1.0;1.0
"interfer";4.0;5.0
"intern";20.0;49.0
"interpret";1.0;1.0
"interven";1.0;1.0
"intervent";4.0;5.0
"interview";9.0;11.0
"invad";1.0;1.0
"invalid";1.0;1.0
"invas";1.0;4.0
"invent";2.0;2.0
"invest";3.0;6.0
"investig";3.0;3.0
"invit";1.0;1.0
"involv";8.0;15.0
"iraq";1.0;10.0
"iron";1.0;1.0
"irrelev";1.0;1.0
"islam";1.0;1.0
"island";7.0;14.0
"issu";23.0;68.0
"issuanc";1.0;1.0
"italian";1.0;2.0
"itam";1.0;1.0
"jail";1.0;2.0
"janeiro";3.0;3.0
"januari";1.0;1.0
"japan";1.0;1.0
"japanes";1.0;1.0
"jawaharl";1.0;1.0
"jejomar";1.0;1.0
"jesus";2.0;2.0
"jiang";1.0;1.0
"jing";1.0;1.0
"jinp";1.0;1.0
"john";1.0;1.0
"join";1.0;1.0
"joint";8.0;16.0
"joke";1.0;1.0
"jolo";1.0;1.0
"jone";1.0;6.0
"jose";3.0;3.0
"joseph";1.0;1.0
"journal";1.0;1.0
"journey";1.0;1.0
"judg";2.0;2.0
"judgement";1.0;1.0
"judgment";2.0;2.0
"judici";1.0;3.0
"juli";10.0;11.0
"jump";1.0;1.0
"june";7.0;7.0
"jurisdict";10.0;18.0
"jurisprudenti";1.0;1.0
"jurist";1.0;1.0
"justic";7.0;10.0
"kang";2.0;2.0
"kangaroo";1.0;1.0
"keep";2.0;3.0
"kenney";1.0;4.0
"kept";2.0;2.0
"khan";1.0;7.0
"kidnap";3.0;3.0
"kill";4.0;12.0
"kilomet";1.0;1.0
"knee";1.0;1.0
"know";2.0;3.0
"known";3.0;4.0
"kristi";1.0;1.0
"label";2.0;2.0
"lack";3.0;4.0
"lake";1.0;2.0
"land";4.0;5.0
"lane";1.0;1.0
"last";2.0;2.0
"late";1.0;1.0
"latest";1.0;1.0
"latin";1.0;1.0
"latter";1.0;1.0
"launch";3.0;3.0
"lauro";1.0;1.0
"lawfar";1.0;2.0
"lawmak";1.0;4.0
"lawsuit";2.0;2.0
"lawyer";1.0;1.0
"lead";4.0;5.0
"leader";6.0;9.0
"leadership";3.0;3.0
"leap";1.0;1.0
"leav";3.0;4.0
"leftist";2.0;7.0
"legal";6.0;7.0
"legitim";3.0;3.0
"legitimaci";3.0;3.0
"lender";1.0;1.0
"leni";1.0;1.0
"lessen";1.0;1.0
"lesson";1.0;1.0
"level";3.0;3.0
"leverag";2.0;2.0
"liberti";1.0;1.0
"libya";1.0;1.0
"liena";1.0;1.0
"life";1.0;1.0
"light";2.0;2.0
"like";4.0;4.0
"limit";3.0;4.0
"line";7.0;7.0
"ling";1.0;1.0
"live";3.0;3.0
"loan";1.0;3.0
"local";3.0;4.0
"logic";2.0;2.0
"longer";1.0;1.0
"look";7.0;10.0
"loophol";1.0;1.0
"lord";1.0;3.0
"lose";1.0;2.0
"lost";3.0;3.0
"losurdo";1.0;6.0
"lotteri";1.0;1.0
"love";1.0;1.0
"macapag";1.0;2.0
"made";16.0;23.0
"magnitud";1.0;1.0
"main";1.0;1.0
"maintain";9.0;14.0
"major";3.0;3.0
"make";11.0;18.0
"malacanang";3.0;3.0
"malacca";1.0;2.0
"malaysia";3.0;3.0
"malaysian";1.0;1.0
"malici";1.0;1.0
"manag";5.0;5.0
"mandat";1.0;2.0
"mandatori";1.0;2.0
"maneuv";1.0;1.0
"manila";13.0;21.0
"manipul";4.0;6.0
"manner";1.0;1.0
"marco";1.0;1.0
"margin";1.0;1.0
"maria";1.0;1.0
"marin";2.0;5.0
"maritim";16.0;28.0
"mark";1.0;1.0
"martin";1.0;1.0
"matter";7.0;12.0
"mayhem";1.0;1.0
"mayor";1.0;1.0
"mean";3.0;8.0
"meant";1.0;1.0
"meanwhil";2.0;2.0
"measur";1.0;1.0
"mechan";1.0;1.0
"meddl";1.0;1.0
"media";4.0;7.0
"medic";1.0;1.0
"mediterranean";1.0;1.0
"medium";1.0;1.0
"meet";7.0;9.0
"member";15.0;24.0
"memori";1.0;1.0
"mental";1.0;1.0
"mention";2.0;3.0
"mess";2.0;2.0
"messag";2.0;2.0
"meteorolog";1.0;1.0
"metro";1.0;1.0
"mexico";1.0;1.0
"middl";2.0;8.0
"miguel";1.0;1.0
"militari";9.0;20.0
"million";6.0;8.0
"mind";2.0;2.0
"mindanao";4.0;9.0
"mindset";1.0;1.0
"mine";1.0;1.0
"minist";5.0;7.0
"ministri";8.0;13.0
"miroslav";1.0;1.0
"misconc";1.0;1.0
"misinform";2.0;2.0
"misperc";2.0;2.0
"mispercept";1.0;1.0
"miss";2.0;3.0
"missil";3.0;4.0
"mistak";1.0;1.0
"misuari";1.0;1.0
"misus";1.0;1.0
"mobil";1.0;1.0
"modern";1.0;1.0
"monday";9.0;10.0
"mongolia";1.0;1.0
"monitor";1.0;1.0
"monk";1.0;2.0
"month";6.0;6.0
"moral";1.0;1.0
"moreov";1.0;1.0
"morn";1.0;1.0
"mount";1.0;1.0
"move";3.0;7.0
"muddi";2.0;2.0
"multi";1.0;1.0
"multilater";1.0;1.0
"multipl";1.0;1.0
"municip";1.0;1.0
"muscl";1.0;1.0
"museum";1.0;2.0
"muslim";3.0;7.0
"mutual";8.0;10.0
"nadir";1.0;1.0
"nakao";1.0;4.0
"name";5.0;5.0
"nansha";3.0;4.0
"nanyang";1.0;1.0
"nation";17.0;23.0
"natur";2.0;4.0
"naval";1.0;1.0
"navi";1.0;1.0
"navig";4.0;7.0
"necess";1.0;1.0
"necessari";2.0;2.0
"negat";1.0;1.0
"negoti";24.0;55.0
"nehru";1.0;1.0
"neighbor";3.0;6.0
"neighborhood";1.0;1.0
"neutral";1.0;1.0
"newli";3.0;3.0
"news";2.0;3.0
"newspap";1.0;2.0
"nicaragua";1.0;1.0
"nice";2.0;2.0
"night";1.0;1.0
"nine";2.0;4.0
"nirj";1.0;1.0
"normal";1.0;1.0
"northern";1.0;1.0
"norway";1.0;1.0
"note";6.0;7.0
"notic";1.0;1.0
"notif";1.0;1.0
"null";8.0;10.0
"number";3.0;4.0
"numer";1.0;1.0
"nurtur";1.0;1.0
"oath";1.0;1.0
"obama";2.0;2.0
"obey";1.0;1.0
"object";2.0;2.0
"observ";2.0;2.0
"obvious";2.0;2.0
"occas";1.0;1.0
"occupi";1.0;1.0
"ocean";2.0;2.0
"octob";1.0;1.0
"offer";4.0;5.0
"offic";11.0;11.0
"offici";10.0;10.0
"olymp";2.0;4.0
"ombudsman";1.0;1.0
"onboard";1.0;1.0
"ongo";2.0;2.0
"open";3.0;3.0
"oper";6.0;8.0
"opinion";3.0;3.0
"opportun";3.0;3.0
"opposit";1.0;1.0
"optim";1.0;1.0
"option";4.0;5.0
"order";6.0;9.0
"organ";4.0;4.0
"origin";1.0;1.0
"oslo";1.0;1.0
"other";1.0;2.0
"oust";1.0;1.0
"outcom";2.0;2.0
"outward";1.0;1.0
"overal";1.0;1.0
"overarch";1.0;1.0
"overflight";2.0;2.0
"overtur";1.0;1.0
"ownership";1.0;1.0
"pacif";5.0;8.0
"packag";2.0;2.0
"page";1.0;2.0
"palac";3.0;4.0
"pall";1.0;1.0
"pampanga";2.0;2.0
"panacea";1.0;1.0
"panel";1.0;1.0
"paola";1.0;1.0
"paper";3.0;4.0
"pardon";1.0;2.0
"parliament";2.0;6.0
"part";6.0;6.0
"parti";17.0;36.0
"particip";8.0;10.0
