"word";"in documents";"total"
"alli_break";1.0;1.0
"alli_break_abrog";1.0;1.0
"alli_said";1.0;1.0
"alli_said_beij";1.0;1.0
"alli_strateg";1.0;1.0
"alli_strateg_partner";1.0;1.0
"alli_u";1.0;1.0
"alli_u_s";1.0;1.0
"alli_unit";1.0;1.0
"alli_unit_state";1.0;1.0
"allianc_contribut";1.0;1.0
"allianc_contribut_health";1.0;1.0
"allianc_make";1.0;1.0
"allianc_make_enemi";1.0;1.0
"allianc_philippin";1.0;1.0
"allianc_philippin_bilater";1.0;1.0
"allianc_relev";1.0;1.0
"allianc_relev_day";1.0;1.0
"allianc_speech";1.0;1.0
"allianc_speech_oath";1.0;1.0
"allianc_truli";1.0;1.0
"allianc_truli_get";1.0;1.0
"allianc_u";2.0;2.0
"allianc_u_s";2.0;2.0
"allianc_unit";1.0;1.0
"allianc_unit_state";1.0;1.0
"allianc_washington";1.0;1.0
"allianc_washington_chines";1.0;1.0
"alloc_chines";2.0;2.0
"alloc_chines_govern";2.0;2.0
"allow_foreign";1.0;1.0
"allow_foreign_militari";1.0;1.0
"allow_presid";1.0;1.0
"allow_presid_said";1.0;1.0
"allow_return";2.0;2.0
"allow_return_u";2.0;2.0
"allow_transfer";1.0;1.0
"allow_transfer_marco";1.0;1.0
"allow_u";2.0;2.0
"allow_u_s";2.0;2.0
"allow_unit";1.0;1.0
"allow_unit_state";1.0;1.0
"aloud_militari";1.0;1.0
"aloud_militari_allianc";1.0;1.0
"altern_seat";1.0;1.0
"altern_seat_govern";1.0;1.0
"ambassador_igor";1.0;1.0
"ambassador_igor_khovaev";1.0;1.0
"ambisyon_nation";1.0;3.0
"ambisyon_nation_accord";1.0;1.0
"ambisyon_nation_ambit";1.0;1.0
"ambisyon_nation_divid";1.0;1.0
"ambit_philippin";1.0;1.0
"ambit_philippin_prosper";1.0;1.0
"ambit_stir";1.0;1.0
"ambit_stir_region";1.0;1.0
"amelior_situat";1.0;1.0
"amelior_situat_side";1.0;1.0
"america_s";1.0;1.0
"america_s_partnership";1.0;1.0
"america_stunt";1.0;1.0
"america_stunt_growth";1.0;1.0
"american_philippin";1.0;1.0
"american_philippin_troop";1.0;1.0
"amic_friend";2.0;2.0
"amic_friend_atmospher";2.0;2.0
"amok_south";1.0;1.0
"amok_south_china";1.0;1.0
"amount_billion";1.0;1.0
"amount_billion_month";1.0;1.0
"amphibi_land";1.0;1.0
"amphibi_land_exercis";1.0;1.0
