"word";"in documents";"total"
"mention";3.0;3.0
"mess";1.0;2.0
"method";1.0;1.0
"middl";1.0;1.0
"mileston";3.0;3.0
"militari";18.0;37.0
"militarili";1.0;1.0
"million";7.0;9.0
"mindanao";9.0;10.0
"mindset";1.0;1.0
"mingjiang";1.0;1.0
"minist";13.0;16.0
"ministri";9.0;19.0
"mission";1.0;1.0
"mitig";2.0;2.0
"miura";1.0;1.0
"model";2.0;2.0
"modern";1.0;1.0
"momentum";3.0;3.0
"monarch";2.0;4.0
"monday";1.0;1.0
"month";5.0;10.0
"moreov";2.0;2.0
"morn";3.0;3.0
"moscow";1.0;2.0
"mourn";1.0;1.0
"mous";2.0;2.0
"move";3.0;4.0
"muddi";2.0;2.0
"multilater";3.0;6.0
"muscl";1.0;1.0
"mutual";12.0;35.0
"nanyang";1.0;1.0
"narco";3.0;3.0
"narcot";4.0;4.0
"narrow";1.0;1.0
"nation";15.0;36.0
"nationwid";1.0;1.0
"naval";1.0;1.0
"navi";1.0;1.0
"navig";3.0;3.0
"necessari";3.0;4.0
"negoti";6.0;6.0
"neighbor";1.0;1.0
"newli";1.0;2.0
"news";9.0;12.0
"newspap";1.0;2.0
"ngeow";1.0;1.0
"night";1.0;1.0
"normal";3.0;4.0
"nort";1.0;1.0
"north";2.0;2.0
"northern";1.0;1.0
"nosediv";1.0;1.0
"notabl";1.0;1.0
"note";2.0;6.0
"novemb";1.0;2.0
"nueva";2.0;4.0
"number";4.0;4.0
"nurtur";1.0;1.0
"nurul";2.0;2.0
"oath";2.0;2.0
"object";3.0;3.0
"observ";2.0;2.0
"obstacl";1.0;1.0
"obtain";1.0;1.0
"obvious";1.0;1.0
"octob";4.0;6.0
"offer";5.0;6.0
"offic";14.0;20.0
"offici";8.0;11.0
"open";4.0;5.0
"oper";5.0;10.0
"opportun";5.0;7.0
"oppos";3.0;3.0
"optim";1.0;1.0
"oral";1.0;1.0
"order";8.0;12.0
"organ";5.0;10.0
"other";4.0;8.0
"outdat";1.0;1.0
"outsid";1.0;1.0
"outspoken";1.0;1.0
"over";1.0;1.0
"overal";2.0;2.0
